id,ecosystem,flag,package,malicious_versions,discovered_date,attack_category,technical_mechanism,registry_status_reported,registry_status_verified,source
RUSTSEC-2026-0016,crates.io,RUST,polymarkets-rs-clob-client,see advisory,2026-02-20,malicious, -- # `polymarkets-rs-clob-client` was removed from crates.io for malicious code This is part of an ongoing campaign to attempt to typosquat crates in the [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) ecosystem to exfiltrate user credentials. The malicious crate had 1 version,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0016
RUSTSEC-2026-0019,crates.io,RUST,tracing-check,see advisory,2026-02-24,malicious, -- # `tracing-check` was removed from crates.io for malicious code This is part of an ongoing campaign to attempt to typosquat crates in the [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) ecosystem to exfiltrate user credentials. The malicious crate had 1 version published on,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0019
RUSTSEC-2026-0018,crates.io,RUST,rpc-check,see advisory,2026-02-24,malicious, -- # `rpc-check` was removed from crates.io for malicious code This is part of an ongoing campaign to attempt to typosquat crates in the [`polymarket-client-sdk`](https://crates.io/crates/polymarket-client-sdk) ecosystem to exfiltrate user credentials. The malicious crate had 6 versions published from ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0018
RUSTSEC-2026-0028,crates.io,RUST,tracing_checks,see advisory,2026-02-26,malicious, -- # `tracing_checks` was removed from crates.io for transitively including malicious code This is part of an ongoing campaign to attempt to typosquat crates in an attempt to exfiltrate Polymarket credentials. The malicious crate had 1 version published on 2026-02-26 approximately 9 hours before remova,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0028
RUSTSEC-2026-0027,crates.io,RUST,tracings,see advisory,2026-02-26,malicious, -- # `tracings` was removed from crates.io for malicious code This is part of an ongoing campaign to attempt to typosquat crates in an attempt to exfiltrate Polymarket credentials. The malicious crate had 1 version published on 2026-02-26 approximately 9 hours before removal and had no evidence of actu,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0027
RUSTSEC-2026-0030,crates.io,RUST,time_calibrator,see advisory,2026-03-03,malicious, -- # `time_calibrator` was removed from crates.io due to malicious code It was reported `time_calibrator` contained malicious code; that would try to upload `.env` files to a server. The malicious crate had only 1 version published at 2026-02-28 and no evidence of actual usage. The crate was removed fr,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0030
RUSTSEC-2026-0031,crates.io,RUST,time_calibrators,see advisory,2026-03-03,malicious, -- # `time_calibrators` was removed from crates.io due to malicious code The `time_calibrators` crate attempted to exfiltrate `.env` files to a server that was in turn impersonating the legitimate `timeapi.io` service. The malicious crate had 1 version published on 2026-03-03 approximately 3 hours befo,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0031
RUSTSEC-2026-0036,crates.io,RUST,time-sync,see advisory,2026-03-04,malicious, -- # `time-sync` was removed from crates.io due to malicious code The `time-sync` crate attempted to exfiltrate `.env` files to a server that was in turn impersonating the legitimate `timeapi.io` service. This the same attack that we've seen three times in the last few days. The malicious crate had 1 v,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0036
RUSTSEC-2026-0032,crates.io,RUST,dnp3times,see advisory,2026-03-04,malicious, -- # `dnp3times` was removed from crates.io due to malicious code The `dnp3times` crate attempted to exfiltrate `.env` files to a server that was in turn impersonating the legitimate `timeapi.io` service. It was loosely trying to typosquat the `dnp3time` crate; but otherwise was the same attack as the ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0032
RUSTSEC-2026-0039,crates.io,RUST,chrono_anchor,see advisory,2026-03-10,malicious, -- # `chrono_anchor` was removed from crates.io due to malicious code The `chrono_anchor` crate attempted to exfiltrate `.env` files to a server that was in turn impersonating the legitimate `timeapi.io` service. The malicious crate had 1 version published on 2026-03-04 approximately 6 days before remo,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0039
RUSTSEC-2026-0040,crates.io,RUST,tracing-ethers,see advisory,2026-03-14,malicious, -- # `tracing-ethers` was removed from crates.io due to malicious code The `tracing-ethers` crate attempted to exfiltrate ssh keys to an app hosted on `vercel.app` The malicious crate had 9 version published on 2026-03-09 approximately 5 days before removal and had no evidence of actual downloads. Ther,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0040
RUSTSEC-2026-0081,crates.io,RUST,logtrace,see advisory,2026-04-05,malicious, -- # `logtrace` was removed from crates.io for malicious code `logtrace` appeared to be downloading a RAT. The malicious crate had 2 versions published on 2026-04-01 that had a total of 30 downloads. There were no crates depending on this crate on crates.io. Thanks to [Socket.dev](https://socket.dev/) ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0081
RUSTSEC-2026-0102,crates.io,RUST,microsoftsystem64,see advisory,2026-04-13,malicious, -- # `microsoftsystem64` was removed from crates.io for malicious code `microsoftsystem64` installs a hardcoded SSH authorized_keys entry (persistence/backdoor) and scans for sensitive files (.env; credential-like JSON names; keyword-matching docs); reads their contents; base64-encodes where needed; an,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0102
RUSTSEC-2026-0101,crates.io,RUST,safe-agent-rs,see advisory,2026-04-13,malicious, -- # `safe-agent-rs` was removed from crates.io for being affiliated with malicious code While `safe-agent-rs` did not directly contain malicious code; it was owned by the same user as `pretty-changelog-logger` and `microsoftsystem64`. `safe-agent-rs` also appeared to be imitating a different websocket,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0101
RUSTSEC-2026-0100,crates.io,RUST,pretty-changelog-logger,see advisory,2026-04-13,malicious, -- # `pretty-changelog-logger` was removed from crates.io for malicious code `pretty-changelog-logger` contains a build script (build.rs) that acts as a loader/dropper for malicious payloads. The malicious crate had 3 versions published on 2026-04-08 that had a total of 2239 downloads. There were no cr,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0100
RUSTSEC-2026-0107,crates.io,RUST,mysten-metrics,see advisory,2026-04-22,malicious, -- # `mysten-metrics` was removed from crates.io for malicious code `mysten-metrics` included a build script that attempted to exfiltrate data from the build machine. The malicious crate had 1 version published on 2026-04-20 and had no evidence of actual usage. This crate had no dependencies on crates.,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0107
RUSTSEC-2026-0108,crates.io,RUST,sui-execution-cut,see advisory,2026-04-23,malicious, -- # `sui-execution-cut` was removed from crates.io for malicious code `sui-execution-cut` included a build script that attempted to exfiltrate data from the build machine. The malicious crate had 1 version published on 2026-04-20 and had no evidence of actual usage. This crate had no dependencies on c,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0108
RUSTSEC-2026-0155,crates.io,RUST,exploration,see advisory,2026-06-02,malicious, -- # `exploration` was removed from crates.io for malicious code A method within the `exploration` crate attempted to download and execute a payload from a remote site. The malicious crate had 1 version published on 2026-06-02; approximately 1 hour before removal; and had no evidence of actual usage. T,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0155
RUSTSEC-2026-0171,crates.io,RUST,logflux,see advisory,2026-06-03,malicious, -- # `logflux` was removed from crates.io for malicious code The `logflux` crate attempted to download and run a malicious payload on the user's machine. The malicious crate had 1 version published on 2026-04-26; approximately 1 month before removal; and had no evidence of actual usage. This crate had ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0171
RUSTSEC-2026-0175,crates.io,RUST,onering,< 1.4.1; > 1.4.1,2026-06-10,malicious, -- # `onering` 1.4.1 was removed from crates.io for malicious code A new version of the `onering` crate was published with code that attempted to exfiltrate both metadata and code from the project it was included within. One malicious version was published on 2026-06-10; approximately six hours before ,see advisory,"VERIFIED: crate live on crates.io (8 versions, 0 yanked)",RustSec RUSTSEC-2026-0175
RUSTSEC-2026-0266,crates.io,RUST,internment,<= 0.8.6,2026-08-20,malicious, -- # `internment` 0.8.7 was removed from crates.io due to a malicious dependency A new version of the `internment` crate was published with a direct dependency on `proc-macro1`; which would execute a malicious build script. The compromised version of this crate was published on 2026-08-20; and was remo,see advisory,"VERIFIED: crate live on crates.io (41 versions, 0 yanked)",RustSec RUSTSEC-2026-0266
RUSTSEC-2026-0260,crates.io,RUST,arrayref,<= 0.3.9,2026-08-20,malicious, -- # `arrayref` 0.3.10 was removed from crates.io due to a malicious dependency A new version of the `arrayref` crate was published with a direct dependency on `proc-macro1`; which would execute a malicious build script. This compromised version was published on 2026-08-20 and removed approximately 86 ,see advisory,"VERIFIED: crate live on crates.io (15 versions, 0 yanked)",RustSec RUSTSEC-2026-0260
RUSTSEC-2026-0265,crates.io,RUST,proc-macro1,see advisory,2026-08-20,malicious, -- # `proc-macro1` was removed from crates.io due to malicious code It was reported `proc-macro1` contained a build script that would download a malicious payload. This crate had two versions; both published on 2026-08-20. The crate was removed from crates.io and related user accounts were locked. This,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0265
RUSTSEC-2026-0262,crates.io,RUST,append-only-vec,<= 0.1.8,2026-08-20,malicious, -- # `append-only-vec` 0.1.9 was removed from crates.io due to a malicious dependency A new version of the `append-only-vec` crate was published with a direct dependency on `proc-macro1`; which would execute a malicious build script. The compromised version of this crate was published on 2026-08-20; an,see advisory,"VERIFIED: crate live on crates.io (9 versions, 0 yanked)",RustSec RUSTSEC-2026-0262
RUSTSEC-2026-0264,crates.io,RUST,proc-macro-en,see advisory,2026-08-20,malicious, -- # `proc-macro-en` was removed from crates.io due to malicious code We identified that `proc-macro-en` contained the same build script as `proc-macro1` and it was part of the same supply chain attack. This crate had one single version published at 2026-08-20. The crate was removed from crates.io and ,see advisory,VERIFIED: deleted (404 from crates.io API),RustSec RUSTSEC-2026-0264
58,npm,X-ECO,crossenv,0.0.7-0.0.14,2017-08-01,typosquat of cross-env + credential theft,postinstall/preinstall scripts POSTed npm tokens/credentials to C2,deleted,VERIFIED: package live on npm (4 versions on registry),Sonatype; Ohm et al. DIMVA 2020
59,npm,X-ECO,templates-framework,200+ packages May-Jun 2018,2018-06-01,account-takeover mass publishing + backdoor,compromised ~200 short-named packages; added getcookies dependency executing remote JS,deleted,VERIFIED: deleted/unpublished (404 from npm registry),GitHub/npm incident reports; Backstabber's Knife Collection
60,npm,X-ECO,eslint-scope,3.7.2 and 4.0.0,2018-07-01,compromised maintainer account,postinstall sent .npmrc auth tokens and user info to pastebin,removed,VERIFIED: package live on npm (30 versions on registry),GitHub issue; npm advisory
61,npm,X-ECO,event-stream,3.3.6,2018-11-01,compromised maintainer + targeted backdoor,obfuscated flatmap-stream dep decoded AES payload activating only in Copay wallet build; harvested wallet keys,yanked but still downloadable with exact-version pins,VERIFIED: package live on npm (84 versions on registry),GHSA; ZeroPersistence
62,npm,X-ECO,flatmap-stream,0.1.1,2018-11-01,compromised maintainer + targeted backdoor,same as event-stream row,yanked but still downloadable with exact-version pins,VERIFIED: package live on npm (1 versions on registry),GHSA; ZeroPersistence
63,npm,X-ECO,ua-parser-js,0.7.29; 0.8.0; 1.0.0,2021-10-22,compromised maintainer account + cryptominer + credential stealer,downloaded jsextension miner and jdic credential-stealing library,malicious versions removed,VERIFIED: package live on npm (94 versions on registry),GHSA; Mandiant; Microsoft
68,npm,X-ECO,coa,2.0.3; 2.0.4; 2.1.1; 2.1.3; 3.1.3,2021-11-04,compromised maintainer + Windows info-stealer,malicious updates downloaded and executed DANABOT DLL on Windows hosts,malicious versions removed,VERIFIED: package live on npm (29 versions on registry),Mandiant Dec 2021
69,npm,X-ECO,rc,1.2.9; 1.3.9; 2.3.9,2021-11-04,compromised maintainer + Windows info-stealer,same DANABOT DLL delivery chain as coa compromise,malicious versions removed,VERIFIED: package live on npm (48 versions on registry),Mandiant Dec 2021
64,npm,X-ECO,colors.js,1.4.1,2022-01-09,maintainer sabotage / protestware,infinite loop deliberately introduced; broke thousands of dependent builds,still on npm (not removed),VERIFIED: package live on npm (1 versions on registry),maintainer commit; Snyk
65,npm,X-ECO,faker.js,6.6.6,2022-01-09,maintainer sabotage / protestware,all faker implementations replaced with throw/loop code,still on npm (not removed),VERIFIED: package live on npm (1 versions on registry),maintainer commit; Snyk
66,npm,X-ECO,node-ipc,11.0.2; 10.1.1; 9.2.2,2022-03-01,protestware + destructive payload,ransomware-style destructive payload targeting RU/BY-IP hosts,malicious versions removed,VERIFIED: package live on npm (76 versions on registry),CVE-2022-23812; Snyk
67,npm,X-ECO,peacenotwar,1.1.3,2022-03-01,protestware,overwrote file contents with heart emoji on RU/BY systems,still on npm (verify),VERIFIED: package live on npm (7 versions on registry),Snyk; GHSA
70,npm,X-ECO,@ledgerhq/connect-kit,1.1.5; 1.1.6; 1.1.7,2023-12-14,compromised maintainer + crypto drainer,malicious versions injected wallet drainer via rogue WalletConnect project; ~$610k lost,malicious versions removed from npm; cached copies persisted on jsDelivr CDN,VERIFIED: package live on npm (41 versions on registry),Socket; Ledger incident report
71,npm,X-ECO,@lottiefiles/lottie-player,2.0.5; 2.0.6; 2.0.7,2024-10-01,compromised npm access token + crypto drainer,compromised access token used to publish trojanized versions delivering wallet drainer,malicious versions removed,VERIFIED: package live on npm (59 versions on registry),Socket Oct 2024
72,npm,X-ECO,@solana/web3.js,1.95.6; 1.95.7,2024-12-02,compromised maintainer + crypto secret theft,backdoored versions harvested wallet addresses and private keys,malicious versions removed,VERIFIED: package live on npm (1970 versions on registry),npm advisory; The Hacker News
73,npm,X-ECO,eslint-config-prettier,8.10.1; 10.1.6; 10.1.7,2025-07-01,compromised maintainer account + token theft,malicious postinstall scripts exfiltrated npm tokens,malicious versions yanked/removed,VERIFIED: package live on npm (85 versions on registry),community disclosure; GHSA
74,npm,X-ECO,eslint-plugin-prettier,4.2.2,2025-07-01,compromised maintainer account + token theft,malicious postinstall scripts exfiltrated npm tokens,malicious versions yanked/removed,VERIFIED: package live on npm (59 versions on registry),community disclosure; GHSA
82,npm,X-ECO,vite-meta-plugin,Jun-Jul 2025 uploads,2025-07-15,typosquat + postinstall loader + host profiling,XORIndex loader via postinstall; multi-endpoint C2 rotation,mixed; verify per package,VERIFIED: package live on npm (1 versions on registry),Socket XORIndex report Jul 2025
83,npm,X-ECO,eth-auditlog,Jun-Jul 2025 uploads,2025-07-15,typosquat + postinstall loader + host profiling,second stage BeaverTail via eth-auditlog eval,mixed; verify per package,VERIFIED: package live on npm (1 versions on registry),Socket XORIndex report Jul 2025
75,npm,X-ECO,nx,100+ malicious versions,2025-08-26,compromised publish credentials + GitHub token exfiltration,malicious versions ran TruffleHog via postinstall; exposed 2180 repos,malicious versions removed,VERIFIED: package live on npm (2652 versions on registry),Socket; Nx disclosure Aug 2025
76,npm,X-ECO,@ctrl/tinycolor,4.1.1; 4.1.2,2025-09-15,credential-harvesting self-replicating worm (postinstall),bundle.js postinstall ran TruffleHog; exfil to webhook.site; self-republished (Shai-Hulud wave 1),most compromised versions removed; mixed status,VERIFIED: package live on npm (49 versions on registry),Socket; Sysdig; CISA alert 2025-09-23
80,npm,X-ECO,express (typosquat: epxresso),Jul-Oct 2025,2025-10-10,typosquat cluster + BeaverTail infostealer,North Korean Lazarus Contagious Interview campaign typosquat of express,mixed; verify per package,VERIFIED: package live on npm (288 versions on registry),Socket 338-package report Oct 2025
81,npm,X-ECO,dotenv (typosquat: dotevn),Jul-Oct 2025,2025-10-10,typosquat cluster + BeaverTail infostealer,typosquat of dotenv delivering HexEval loader,mixed; verify per package,VERIFIED: package live on npm (104 versions on registry),Socket 338-package report Oct 2025
77,npm,X-ECO,posthog-node,4.18.1,2025-11-24,second-wave worm + cross-registry spread,setup_bun.js stole npm/PyPI/Maven/GitHub tokens; auto-republished trojanized versions (Shai-Hulud v2),npm versions removed,VERIFIED: package live on npm (320 versions on registry),Socket; The Hacker News
78,npm,X-ECO,mastra,republished versions Jun 17 2026,2026-06-17,stale-permission scope takeover + typosquat dep,hijacked account republished @mastra scope with injected easy-day-js delivering RAT + crypto stealer,removed; publish access revoked,VERIFIED: package live on npm (1556 versions on registry),Microsoft MSTIC blog 2026-06-17
79,npm,X-ECO,easy-day-js,Jun 17 2026,2026-06-17,typosquat of dayjs + postinstall payload,injected dependency delivering RAT + crypto stealer as part of Mastra scope takeover,removed,VERIFIED: package live on npm (1 versions on registry),Microsoft MSTIC blog 2026-06-17
